iter	Passed	Remaining
275	352	923
276	352	920
277	353	917
278	354	914
279	354	912
280	355	909
281	355	906
282	356	903
283	357	901
284	359	902
285	360	900
286	361	897
287	361	894
288	362	892
289	363	889
290	363	886
291	364	883
292	365	881
293	365	878
294	366	875
295	367	873
296	367	870
297	368	867
298	369	865
299	369	862
300	370	860
301	371	858
302	372	857
303	373	855
304	374	853
305	375	851
306	376	849
307	376	846
308	377	844
309	378	842
310	379	841
311	380	839
312	381	837
313	382	834
314	382	832
315	383	830
316	385	829
317	386	828
318	387	827
319	389	826
320	390	825
321	390	823
322	391	821
323	392	819
324	393	817
325	394	815
326	395	813
327	397	814
328	398	812
329	399	810
330	399	808
331	400	806
332	401	804
333	403	803
334	405	804
335	406	803
336	407	801
337	408	799
338	409	798
339	410	797
340	411	795
341	412	792
342	413	791
343	413	789
344	414	787
345	415	785
346	416	783
347	416	781
348	417	778
349	418	776
350	419	776
351	421	775
352	422	774
353	424	773
354	425	772
355	425	770
356	426	768
357	427	766
358	428	764
359	428	762
360	429	760
361	430	759
362	431	757
363	432	755
364	433	753
365	435	754
366	438	757
367	440	756
368	441	755
369	442	753
370	443	751
371	444	749
372	445	748
373	445	746
374	447	745
375	448	743
376	449	742
377	450	740
378	451	740
379	452	738
380	453	736
381	453	734
382	456	735
383	457	733
384	458	732
385	459	730
386	459	728
387	461	727
388	462	726
389	463	724
390	463	722
391	464	720
392	465	718
393	466	716
394	466	715
395	468	715
396	469	713
397	470	711
398	473	712
399	474	711
400	475	710
401	476	708
402	477	707
403	478	706
404	479	704
405	480	702
406	481	701
407	482	699
408	482	697
409	483	695
410	484	694
411	485	692
412	486	691
413	487	689
414	489	690
415	490	688
416	491	687
417	492	685
418	493	684
419	494	682
420	495	681
421	495	679
422	496	677
423	497	675
424	498	673
425	498	672
426	502	674
427	503	673
428	504	671
429	505	670
430	506	669
431	508	668
432	509	666
433	509	665
434	510	663
435	511	661
436	512	659
437	512	658
438	513	656
439	514	655
440	515	653
441	517	652
442	518	651
443	519	650
444	520	648
445	521	647
446	522	645
447	522	644
448	523	642
449	525	641
450	525	640
451	526	638
452	528	637
453	529	636
454	531	636
455	532	635
456	533	634
457	534	632
458	535	631
459	536	630
460	537	628
461	538	627
462	539	625
463	541	625
464	541	623
465	542	621
466	543	620
467	544	618
468	546	618
469	548	618
470	549	617
471	550	616
472	551	614
473	552	613
474	553	612
475	555	611
476	555	609
477	556	607
478	557	606
479	558	604
480	559	603
481	560	602
482	560	600
483	561	598
484	562	597
485	563	595
486	564	594
487	567	595
488	568	594
489	570	593
490	571	592
491	572	591
492	574	590
493	574	588
494	575	587
495	576	585
496	577	584
497	578	582
498	579	581
499	580	580
500	581	578
501	582	578
502	583	576
503	584	575
504	585	573
505	585	571
506	587	571
507	588	569
508	589	568
509	590	567
510	591	565
511	592	564
512	593	563
513	593	561
514	595	560
515	595	558
516	596	557
517	597	555
518	598	554
519	598	552
520	599	551
521	600	549
522	601	548
523	602	547
524	603	545
525	603	544
526	604	542
527	605	541
528	608	541
529	609	540
530	610	539
531	612	538
532	613	537
533	614	536
534	614	534
535	615	532
536	616	531
537	617	530
538	618	528
539	619	527
540	619	525
541	620	524
542	621	523
543	623	522
544	624	521
545	625	519
546	626	518
547	627	517
548	629	516
549	629	515
550	630	513
551	631	512
552	632	511
553	633	509
554	634	508
555	635	507
556	636	506
557	638	505
558	639	504
559	640	503
560	641	502
561	643	501
562	644	499
563	644	498
564	645	497
565	646	495
566	660	504
567	672	511
568	683	517
569	691	521
570	692	520
571	693	518
572	693	516
573	696	516
574	697	515
575	698	514
576	699	513
577	700	511
578	701	510
579	702	508
580	703	507
581	704	505
582	704	504
583	706	503
584	707	501
585	707	500
586	709	498
587	709	497
588	710	495
589	711	494
590	712	493
591	713	491
592	713	489
593	715	489
594	718	488
595	721	488
596	722	487
597	723	486
598	724	484
599	725	483
600	726	482
601	727	480
602	728	479
603	728	477
604	729	476
605	730	474
606	731	473
607	732	472
608	732	470
609	733	469
610	734	467
611	735	466
612	735	464
613	738	464
614	739	463
615	741	462
616	743	461
617	744	460
618	745	458
619	746	457
620	746	455
621	747	454
622	748	452
623	749	451
624	749	449
625	750	448
626	751	447
627	755	447
628	755	445
629	757	444
630	757	443
631	758	441
632	759	440
633	760	439
634	761	437
635	761	436
636	762	434
637	763	433
638	764	431
639	765	430
640	767	429
641	768	428
642	769	427
643	770	425
644	771	424
645	772	423
646	772	421
647	773	420
648	774	418
649	775	417
650	776	416
651	776	414
652	777	413
653	778	411
654	779	410
655	780	409
656	782	408
657	783	407
658	784	405
659	785	404
660	786	403
661	786	401
662	787	400
663	788	398
664	789	397
665	790	396
666	791	394
667	792	393
668	793	392
669	794	391
670	795	390
671	796	388
672	796	387
673	797	385
674	798	384
675	799	383
676	800	381
677	801	380
678	801	379
679	802	377
680	806	377
681	807	376
682	809	375
683	809	374
684	810	372
685	811	371
686	811	369
687	812	368
688	813	367
689	814	365
690	814	364
691	815	363
692	816	361
693	817	360
694	819	359
695	821	358
696	822	357
697	822	356
698	823	354
699	824	353
700	825	352
701	826	350
702	826	349
703	828	348
704	828	346
705	829	345
706	829	343
707	830	342
708	832	341
709	833	340
710	834	339
711	835	338
712	837	337
713	838	335
714	840	334
715	840	333
716	841	332
717	842	330
718	843	329
719	844	328
720	846	327
721	846	326
722	847	324
723	848	323
724	851	322
725	852	321
726	853	320
727	854	319
728	855	317
729	856	316
730	856	315
731	857	314
732	858	312
733	859	311
734	861	310
735	861	309
736	862	307
737	863	306
738	864	305
739	865	304
740	866	302
741	867	301
742	868	300
743	869	299
744	871	298
745	872	296
746	872	295
747	873	294
748	874	293
749	875	291
750	876	290
751	876	289
752	877	287
753	878	286
754	878	285
755	879	283
756	880	282
757	881	281
758	882	280
759	883	279
760	885	278
761	886	276
762	887	275
763	888	274
764	888	273
765	889	271
766	890	270
767	890	269
768	891	267
769	892	266
770	892	265
771	894	264
772	896	263
773	898	262
774	899	261
775	900	259
776	901	258
777	902	257
778	902	256
779	903	254
780	904	253
781	905	252
782	906	251
783	907	249
784	907	248
785	908	247
786	911	246
787	914	245
788	915	244
789	916	243
790	917	242
791	918	241
792	918	239
793	919	238
794	920	237
795	920	236
796	921	234
797	922	233
798	923	232
799	924	231
800	925	229
801	926	228
802	926	227
803	928	226
804	929	225
805	930	223
806	931	222
807	932	221
808	933	220
809	933	219
810	934	217
811	935	216
812	936	215
813	937	214
814	938	212
815	939	211
816	939	210
817	940	209
818	941	208
819	942	206
820	944	205
821	945	204
822	946	203
823	947	202
824	948	201
825	949	200
826	950	198
827	951	197
828	952	196
829	953	195
830	954	194
831	954	192
832	955	191
833	956	190
834	956	189
835	957	187
836	960	186
837	961	185
838	963	184
839	964	183
840	965	182
841	966	181
842	967	180
843	967	178
844	968	177
845	969	176
846	970	175
847	971	174
848	972	172
849	973	171
850	976	170
851	977	169
852	978	168
853	979	167
854	980	166
855	980	165
856	981	163
857	982	162
858	983	161
859	984	160
860	984	158
861	985	157
862	986	156
863	986	155
864	988	154
865	990	153
866	991	152
867	991	150
868	992	149
869	993	148
870	994	147
871	995	146
872	995	144
873	996	143
874	997	142
875	998	141
876	998	140
877	999	138
878	1000	137
879	1001	136
880	1003	135
881	1004	134
882	1005	133
883	1006	132
884	1007	130
885	1008	129
886	1009	128
887	1010	127
888	1011	126
889	1012	125
890	1013	123
891	1014	122
892	1015	121
893	1015	120
894	1016	119
895	1017	118
896	1019	117
897	1020	115
898	1021	114
899	1023	113
900	1025	112
901	1025	111
902	1026	110
903	1027	109
904	1028	107
905	1029	106
906	1029	105
907	1030	104
908	1031	103
909	1031	102
910	1032	100
911	1034	99
912	1035	98
913	1036	97
914	1036	96
915	1037	95
916	1038	94
917	1039	92
918	1040	91
919	1041	90
920	1042	89
921	1042	88
922	1043	87
923	1045	85
924	1046	84
925	1047	83
926	1048	82
927	1049	81
928	1050	80
929	1050	79
930	1051	77
931	1052	76
932	1054	75
933	1054	74
934	1055	73
935	1056	72
936	1057	71
937	1058	69
938	1059	68
939	1060	67
940	1061	66
941	1062	65
942	1063	64
943	1064	63
944	1065	62
945	1066	60
946	1067	59
947	1068	58
948	1068	57
949	1069	56
950	1070	55
951	1071	54
952	1072	52
953	1073	51
954	1073	50
955	1074	49
956	1075	48
957	1076	47
958	1077	46
959	1079	44
960	1080	43
961	1080	42
962	1081	41
963	1082	40
964	1083	39
965	1083	38
966	1084	37
967	1085	35
968	1086	34
969	1086	33
970	1087	32
971	1088	31
972	1089	30
973	1089	29
974	1090	27
975	1091	26
976	1092	25
977	1093	24
978	1093	23
979	1094	22
980	1095	21
981	1096	20
982	1097	18
983	1099	17
984	1100	16
985	1101	15
986	1102	14
987	1103	13
988	1104	12
989	1104	11
990	1106	10
991	1107	8
992	1108	7
993	1108	6
994	1109	5
995	1110	4
996	1111	3
997	1111	2
998	1112	1
999	1113	0
